rank,title,time,ep,staff
Rank 1,星际牛仔,1998年10月23日,26话, 渡辺信一郎 / 矢立肇 / 川元利浩 
Rank 2,攻壳机动队 S.A.C. 2nd GIG,2004年1月1日,26话, 神山健治 / 士郎正宗 
Rank 3,攻壳机动队 STAND ALONE COMPLEX,2002年10月1日,26话, 神山健治 / 士郎正宗 / 下村一 
Rank 4,CLANNAD ～AFTER STORY～,2008年10月2日,24话, 石原立也 / Key/Visual Art's / 池田和美 
Rank 5,新世纪福音战士,1995年10月4日,26话, 庵野秀明 / GAINAX / 貞本義行 
Rank 6,攻壳机动队,1995年11月18日,1话, 押井守 / 士郎正宗 / 沖浦啓之 
Rank 7,新世纪福音战士剧场版 Air/真心为你,1997年7月19日,2话,
Rank 8,浪客剑心 追忆篇,1999年2月20日,4话, 古橋一浩 / 和月伸宏 / 柳沢まさひで 
Rank 9,猫和老鼠,1940年2月10日,161话, William Hanna (1940–58) Joseph Barbera (1940–58 / 2005) Gene Deitch (1961–62) Chuck Jones (1963–67) Maurice Noble (1964–67) Abe Levitow (1965–67) Tom Ray (1966–67) Ben Washam (1966–67) 
Rank 10,钢之炼金术师 FULLMETAL ALCHEMIST,2009年4月5日,64话, 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀 
Rank 11,白箱,2014年10月9日,24话, 水島努 / 武蔵野アニメーション / 関口可奈味 
Rank 12,银河英雄传说,1988年1月8日,110话, 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～) 
Rank 13,3月的狮子 第二季,2017年10月14日,22话, 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛 
Rank 14,灌篮高手,1993年10月16日,101话, 井上雄彦 
Rank 15,银魂',2011年4月4日,51话,
Rank 16,攻壳机动队2 无罪,2004年3月6日,1话, 押井守 
Rank 17,银魂,2006年4月4日,201话, 高松信司 / 空知英秋 / 竹内進二 
Rank 18,虫师,2005年10月22日,26话, 長濵博史 / 漆原友紀 / 馬越嘉彦 
Rank 19,进击的巨人 第三季 Part.2,2019年4月28日,10话, 諫山創（別冊少年マガジン連載／講談社） 
Rank 20,蓝色恐惧,1998年2月28日,1话, 今敏 / 竹内義和 
Rank 21,凉宫春日的消失,2010年2月6日,1话, 武本康弘 / 谷川流 / 池田晶子 
Rank 22,机动警察 和平保卫战,1993年8月7日,1话, 押井守 
Rank 23,福音战士新剧场版：破,2009年6月27日,1话,
Rank 24,千年女优,2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本),1话, 今敏 / 本田雄、今敏 
Rank 25,天元突破 红莲螺岩,2007年4月1日,27话, 今石洋之 / GAINAX / 錦織敦史 
Rank 26,命运石之门,2011年4月6日,25话, 佐藤卓哉、浜崎博嗣、小林智樹(第25話) / 5pb./Nitro+ / 坂井久太 
Rank 27,瑞克和莫蒂 第三季,2017-04-01,10话, Justin Roiland、Dan Harmon 
Rank 28,千与千寻,2001年7月20日,1话, 宮崎駿 
Rank 29,水星领航员 第三季,2008年1月7日,14话, 佐藤順一 / 天野こずえ / 古賀誠 
Rank 30,大闹天宫,1961年,1话, 万籁鸣 / 吴承恩 
Rank 31,瑞克和莫蒂 第二季,2015-07-26,10话, Justin Roiland、Dan Harmon 
Rank 32,混沌武士,2004年5月19日,26话, 渡辺信一郎 / Manglobe / 中澤一登 
Rank 33,虫师 续章 第2期,2014年10月18日,10话, 長濵博史 / 漆原友紀 / 馬越嘉彦 
Rank 34,虫师 续章,2014年4月4日,11话, 長濵博史 / 漆原友紀 / 馬越嘉彦 
Rank 35,蜂蜜与四叶草II,2006年6月29日,12话, 長井龍雪 / 羽海野チカ / 島村秀一 
Rank 36,机动战士高达0080 口袋里的战争,1989年3月25日,6话, 高山文彦 / 矢立肇、富野由悠季 / 美樹本晴彦 
Rank 37,赛马娘 Pretty Derby 第二季,2021年1月4日,13话, 及川啓 / Cygames / 椛島洋介、辻智子 
Rank 38,瑞克和莫蒂 第一季,2013-12-02,11话, Justin Roiland、Dan Harmon 
Rank 39,蜂蜜与四叶草,2005年4月14日,24话, カサヰケンイチ / 羽海野チカ / 島村秀一 
Rank 40,天空之城,1986年8月2日,1话, 宮崎駿 
Rank 41,排球少年 乌野高校 VS 白鸟泽学园高校,2016年10月7日,10话, 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載） 
Rank 42,机动战士Z高达,1985年3月2日,50话, 矢立肇 / 安彦良和 
Rank 43,四叠半神话大系,2010年4月22日,11话, 湯浅政明 / 森見登美彦 / 伊東伸高 
Rank 44,魔法少女小圆,2011年1月7日,12话, 新房昭之 / Magica Quartet / 岸田隆宏 
Rank 45,攻壳机动队2.0,2008-07-12,1话, 押井守 
Rank 46,海贼王,宇田鋼之介（1-278）、志水淳児（131-159）→境宗久（244-372）→宮元宏彰（352-679）→深澤敏則（663-891）、伊藤聡伺（780-782）→長峯達也（780-782、892-）、暮田公平、小牧文（892-）,1999年10月20日, 尾田栄一郎（集英社「週刊少年ジャンプ」連載） / 小泉昇（1-425）→久田和也（385-891）→松田翠（780-782、892-） 
Rank 47,莉兹与青鸟,2018年4月21日,1话, 山田尚子 / 武田綾乃（宝島社文庫「響け！ユーフォニアム 北宇治高校吹奏楽部、波乱の第二楽章」） / 西屋太志 
Rank 48,红辣椒,2006年11月25日,1话, 今敏 / 筒井康隆 
Rank 49,乒乓,2014年4月10日,11话,
Rank 50,哆啦A梦 大山版,1979年4月2日,1787话,
Rank 51,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,1998年3月7日,3话, 庵野秀明 
Rank 52,死亡笔记,2006年10月4日,37话, 荒木哲郎 / 大場つぐみ、小畑健 / 北尾勝 
Rank 53,幽灵公主,1997年7月12日,1话, 宮崎駿 
Rank 54,机动战士高达 逆袭的夏亚,1988年3月12日,1话, 富野由悠季 / 北爪宏幸 
Rank 55,剧场版 空之境界 第五章 矛盾螺旋,2008年8月16日,1话, 平尾隆之 / 奈須きのこ / 須藤友徳、高橋タクロヲ 
Rank 56,水星领航员 The AVVENIRE,2015年9月26日,3话, 佐藤順一 / 天野こずえ / 音地正行 
Rank 57,少女革命,1997年4月2日,39话,
Rank 58,CLANNAD,2007年10月4日,23话, 石原立也 / Key/Visual Art's / 池田和美 
Rank 59,攻壳机动队 S.A.C. Solid State Society,2006年11月24日,1话,
Rank 60,摇曳露营△ 第二季,2021年1月7日,13话, 京極義昭 / あfろ（芳文社「COMIC FUZ」掲載） / 佐々木睦美 
Rank 61,少女与战车 剧场版,2015年11月21日,1话, 水島努 / 杉本功 
Rank 62,排球少年 第二季,2015年10月3日,25话, 古舘春一（集英社「週刊少年ジャンプ」連載） 
Rank 63,日常,2011年4月2日,26话, 石原立也 / あらゐけいいち / 西屋太志 
Rank 64,猎人,1999年10月16日,62话, 古橋一浩 / 冨樫義博 
Rank 65,昭和元禄落语心中 -助六再临篇-,2017年1月6日,12话, 畠山守（小俣真一） / 雲田はるこ（講談社「ITAN」連載） / 細居美恵子 
Rank 66,风之谷,1984-03-11,1话, 宮崎駿 
Rank 67,怪物,2004年4月6日,74话,
Rank 68,剧场版 魔法少女小圆 剧场版 [新篇] 叛逆的物语,2013年10月26日,1话, 宮本幸裕 / Magica Quartet / 岸田隆宏、谷口淳一郎 
Rank 69,钢之炼金术师,2003年10月4日,51话, 水島精二 / 荒川弘 / 伊藤嘉之 
Rank 70,百变之星,2003年4月3日,51话, 佐藤順一、平池芳正（第27话以后） 
Rank 71,JOJO的奇妙冒险 星尘斗士 埃及篇,2015年1月9日,24话, 津田尚克 / 荒木飛呂彦（集英社ジャンプ コミックス刊） / 小美野雅彦、町田真一（副人物设定、替身设计）、光田史亮（替身设计） 
Rank 72,∀高达,1999年4月9日,50话, 富野由悠季 / 矢立肇、富野由悠季 
Rank 73,棒球英豪,1985年3月24日,101话, あだち充 
Rank 74,Code Geass 反叛的鲁路修,2006年10月5日,25话, 谷口悟朗 / 木村貴宏 
Rank 75,FLCL,2000年4月26日,6话, 鶴巻和哉 / GAINAX / 貞本義行 
Rank 76,我的三体 章北海传,2020年1月21日,9话, 神游八方（李圳宜） / 刘慈欣 
Rank 77,数码兽大冒险,1999-03-07,54话, 中鶴勝祥 
Rank 78,化物语,2009年7月3日,15话, 新房昭之 / 西尾維新「化物語」（講談社BOX） / 渡辺明夫 
Rank 79,爆漫王。3,2012年10月6日,25话, カサヰケンイチ、秋田谷典昭 / 大場つぐみ、小畑健 / 下谷智之 
Rank 80,3月的狮子,2016年10月8日,22话, 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛 
Rank 81,十二国记,2002年4月9日,45话, 小林常夫、栗原ひばり(40話のみ) / 小野不由美 / 田中比呂人、楠本祐子 
Rank 82,星际牛仔 天国之扉,2001年9月1日,1话, 矢立肇 
Rank 83,棋魂,2001年10月10日,75话, 西澤晋、神谷純、えんどうてつや / ほったゆみ、小畑健 / 本橋秀之、関口可奈味、上田美由紀、芝美奈子 
Rank 84,歌牌情缘2,2013年1月11日,25话, 浅香守生 / 末次由紀（講談社「BE・LOVE」連載） 
Rank 85,星空清理者,2003年10月4日,26话,
Rank 86,银魂' 延长战,2012年10月4日,13话,
Rank 87,水星领航员 第二季,2006年4月2日,26话, 佐藤順一 / 天野こずえ / 古賀誠 
Rank 88,物怪,2007年7月12日,12话,
Rank 89,飞跃巅峰！,1988年10月7日,6话, 庵野秀明 / 岡田斗司夫 
Rank 90,机器人总动员,2008-06-27,1话, Andrew Stanton 
Rank 91,永生之酒,2007年7月26日,16话, 大森貴弘 / 成田良悟 / 岸田隆宏 
Rank 92,太空丹迪 第二季,2014年7月6日,13话,
Rank 93,福音战士新剧场版：序,2007年9月1日,1话, 庵野秀明 
Rank 94,Heart Catch 光之美少女!,2010年2月7日,49话, 長峯達也 / 東堂いづみ / 馬越嘉彦 
Rank 95,皇家国教骑士团 OVA,2006年2月10日,10话, ところともかず（#1 - #4）、田中洋之（#5 - #7）、松村やすひろ（#8、#10）、鈴木健一（#9 - #10） / 平野耕太 
Rank 96,强风吹拂,2018年10月2日,23话, 三浦しをん『風が強く吹いている』 （新潮文庫刊） 
Rank 97,虫师 特別篇 蚀日之翳,2014年1月4日,1话, 長濵博史 / 漆原友紀 / 馬越嘉彦 
Rank 98,哆啦A梦,善聡一郎（#1-#489）、八鍬新之介（#490-#515）,2005年4月15日, 藤子・F・不二雄 / 渡辺歩→渡辺歩、富永貞義→丸山宏一、富永貞義→富永貞義→吉田誠、富永貞義→丸山宏一 
Rank 99,来自新世界,2012年9月28日,25话, 久保田誓（メイン）、清水祐実（サブ） 
Rank 100,虫师 特别篇 铃之雫,2015年5月16日,1话, 長濵博史 / 漆原友紀 / 馬越嘉彦 
Rank 101,夏目友人帐 参,2011年7月4日,13话, 大森貴弘 / 緑川ゆき / 髙田晃 
Rank 102,东京教父,2003年11月8日,1话, 今敏 / 今敏 / 小西賢一、今敏 
Rank 103,冰菓,2012年4月22日,22话, 武本康弘 / 米澤穂信 / 西屋太志 
Rank 104,新世纪福音战士剧场版 死与新生,1997年3月15日,2话,
Rank 105,来自深渊,2017年7月7日,13话, 小島正幸 / つくしあきひと / 黄瀬和哉 
Rank 106,水星领航员 OVA ～ARIETTA～,2007年9月21日,1话, 佐藤順一 / 天野こずえ / 古賀誠 
